Ville de départ,Destination,Temps,Prix
Paris,Londres,N/A,N/A
Paris,Bruxelles,N/A,N/A
Paris,Anderlecht,N/A,N/A
Paris,Strasbourg,N/A,N/A
Paris,Schaerbeek,N/A,N/A
Paris,Rouen,N/A,N/A
Paris,Lille,N/A,N/A
Paris,Molenbeek-Saint-Jean,N/A,N/A
Paris,Rennes,N/A,N/A
Paris,Reims,N/A,N/A
Paris,Ixelles,N/A,N/A
Paris,Londres,N/A,N/A
Paris,Luxembourg,N/A,N/A
Paris,Rotterdam,N/A,N/A
Paris,Anvers,N/A,N/A
Paris,Esch-sur-Alzette,N/A,N/A
Paris,Lyon,N/A,N/A
Paris,Gand,N/A,N/A
Paris,Dudelange,N/A,N/A
Paris,Charleroi,N/A,N/A
Paris,Schifflange,N/A,N/A
Paris,Amsterdam,N/A,N/A
Paris,Marseille,N/A,N/A
Paris,Genève,N/A,N/A
Paris,La Haye,N/A,N/A
Paris,Bâle,N/A,N/A
Paris,Cologne,N/A,N/A
Paris,Utrecht,N/A,N/A
Paris,Francfort,N/A,N/A
Paris,Stuttgart,N/A,N/A
Paris,Eindhoven,N/A,N/A
Paris,Zurich,N/A,N/A
Paris,Birmingham,N/A,N/A
Paris,Toulouse,N/A,N/A
Paris,Lausanne,N/A,N/A
Paris,Sheffield,N/A,N/A
Paris,Berne,N/A,N/A
Paris,Leeds,N/A,N/A
Paris,Luzern,N/A,N/A
Paris,Bristol,N/A,N/A
Paris,Essen,N/A,N/A
Paris,Schaan,N/A,N/A
Paris,Munich,N/A,N/A
Paris,Liverpool,N/A,N/A
Paris,Turin,N/A,N/A
Paris,Nice,N/A,N/A
Paris,Groningue,N/A,N/A
Paris,Winterthur,N/A,N/A
Paris,Sankt Gallen,N/A,N/A
Paris,Cardiff,N/A,N/A
Paris,Manchester,N/A,N/A
Paris,Monaco,N/A,N/A
Paris,Barcelone,N/A,N/A
Paris,Milan,N/A,N/A
Paris,Vaduz,N/A,N/A
Paris,Triesen,N/A,N/A
Paris,Eschen,N/A,N/A
Paris,Mauren,N/A,N/A
Paris,Edinburgh,N/A,N/A
Paris,Ruggell,N/A,N/A
Paris,Lugano,N/A,N/A
Paris,Berlin,N/A,N/A
Paris,Hambourg,N/A,N/A
Paris,Glasgow,N/A,N/A
Paris,Salzburg,N/A,N/A
Paris,Innsbruck,N/A,N/A
Paris,Brescia,N/A,N/A
Paris,Leipzig,N/A,N/A
Paris,Parma,N/A,N/A
Paris,Gasteiz / Vitoria,N/A,N/A
Paris,Reggio nell'Emilia,N/A,N/A
